,a1,a2,a3,a4,load,failure
0,4.518469013778064,2.627219473150669,3.1296010790407025,3.046164532933154,0.0,0
1,3.463637133419053,2.616906906681908,2.2866670722977345,2.3892764002107025,0.0,0
2,4.4618666815472565,2.833213787369083,2.4132827911368677,2.9779344305988222,0.0,0
3,4.381037020992006,4.703040440944816,2.66819550031821,2.6506095993897323,0.0,0
4,3.8802757130982943,3.0546901910174213,2.502710614981353,2.1474169512655954,0.0,0
5,5.377322092099089,3.374057726479573,3.0057500005926827,2.7730738979600966,0.0,0
6,6.449468608352926,2.9898674643516467,3.0999131786326277,3.4756839145608764,0.0,0
7,5.4423470677377646,3.373738691940247,2.353294569244289,2.250077117082545,0.0,0
8,5.975088825562629,7.400384894527539,3.592313756437475,3.6160194793012788,0.0,0
9,9.384180548788887,3.8427298717312475,4.080472239169802,4.8406479074460975,0.0,0
10,3.6320278672204314,2.7346509266751884,2.2418036742292498,2.7598067353990747,0.0,0
11,3.283587443446053,2.0794781327413907,2.0127965259202654,2.1939773996539373,0.0,0
12,5.170419486324478,5.325171068082571,3.526975865697485,2.8703056401423788,0.0,0
13,6.1075317388633446,4.059116479968891,3.709383178523838,3.2653975025565614,0.0,0
14,3.50272752665677,2.2644799860201057,2.146550134241465,2.3663971683748426,0.0,0
15,4.634216749364751,2.683149697657214,2.4075345889042667,3.1108140992203523,0.0,0
16,7.277794598630762,5.527190791818382,3.8446339722388423,4.137815420589391,0.0,0
17,6.724793200939101,3.5353170002030967,3.3702159150915456,3.9018314344578635,0.0,0
18,6.554222765559576,2.8035070283809054,3.3549759224275157,4.747138041603328,0.0,0
19,11.176916260644068,4.537226121501541,4.950221760448054,5.106358945176313,0.0,0
20,6.952605444831026,5.99936060766974,3.6791353558681696,3.5628463121103566,0.0,0
21,7.350426720230089,5.587600177797449,4.523504506494747,3.8143150628613074,0.0,0
22,4.557287063668047,2.7243054239197524,3.047709954575036,3.3252729128758305,0.0,0
23,2.9837678811194186,1.91681201300074,1.9014319039408925,2.236495091919666,0.0,0
24,2.5027138803884803,2.0317252366876253,1.2563780066412555,1.5566085050326584,0.0,0
25,3.6850188923341816,3.272770547172478,2.9470053806605447,2.75429761999322,0.0,0
26,3.2257435999817323,2.463825459190068,1.853967244003924,2.053982483763704,0.0,0
27,2.562020036732016,2.0334608161174894,1.8750922805247296,1.5956141740313012,0.0,0
28,6.19140202022405,3.1623440414266546,3.1291893736905783,3.4582971540576164,0.0,0
29,7.462523900302956,8.256608931887518,4.151024576333927,3.823471005570839,0.0,0
30,6.769664385133908,5.68404315193032,3.347021530277343,3.6527231183106936,0.0,0
31,7.653542308094028,3.1488342239618428,3.3787573206184107,3.2204160809991302,0.0,0
32,5.9527913114527164,3.1172596037794618,3.219878879427152,3.3592495831309934,0.0,0
33,4.578695405460031,4.3846193326107095,2.902568225957138,2.6582050809405446,0.0,0
34,4.734689826555434,3.998396127794547,2.8795004362805847,3.464324536855641,0.0,0
35,6.1012251825906025,3.5144082399722167,3.8275184527818866,3.6432399307360583,0.0,0
36,3.396651010119937,2.4227311821636195,1.891342252596002,2.6341179136418003,0.0,0
37,3.23263243974292,2.486120137102793,1.6835837914190277,2.3533019908762522,0.0,0
38,6.669935808183218,6.165476640183577,4.001460298928056,3.4021754865871503,0.0,0
39,7.164339638441902,4.924866464077167,3.6873587474511074,4.636862337791003,0.0,0
40,4.990135613158773,2.926274993368997,2.7268675982894326,2.9048257038636427,0.0,0
41,9.34599030218933,4.733590903706668,4.074920233818404,3.6977431149167272,0.0,0
42,8.24205226631024,8.185080707515727,4.521448798783103,3.9177999323450496,0.0,0
43,5.0120807094432225,2.9962838896901967,3.186918057555092,3.0263677247794742,0.0,0
44,3.6896962630277295,2.4926588542187536,2.3208734972801794,2.818998677760604,0.0,0
45,5.705793950601736,3.4739210833561005,3.2074870510188913,4.164779132791497,0.0,0
46,5.41354989703691,3.7863143253150873,3.1970964927252394,3.3729648557730085,0.0,0
47,3.8843004543304738,2.738772935138002,2.072628141438419,3.315493655492053,0.0,0
